Engagement	Project	Role	Name	Date	Rate	Hours	Amount
ACG	-	-	-	2/6/2013	0	0	$140.00
Fiat	-	-	-	2/6/2013	 0	0	$140.00
DPC	-	-	-	2/6/2013	 0	0	$140.00
ADT	-	-	-	2/6/2013	 0	0	$140.00
Arby	-	-	-	2/6/2013	 0	0	$140.00
DADS	-	-	-	2/6/2013	 0	0	$140.00
Things Remembered	-	-	-	2/6/2013	 0	0	$140.00
M-Drive	-	-	-	2/6/2013	 0	0	$140.00
Infrastructure	-	-	-	2/6/2013	 0	0	$140.00
ACG	-	-	-	3/6/2013	 0	0	$140.00
Fiat	-	-	-	3/6/2013	 0	0	$140.00
DPC	-	-	-	3/6/2013	 0	0	$140.00
ADT	-	-	-	3/6/2013	 0	0	$140.00
Arby	-	-	-	3/6/2013	 0	0	$140.00
DADS	-	-	-	3/6/2013	 0	0	$140.00
Things Remembered	-	-	-	3/6/2013	 0	0	$140.00
M-Drive	-	-	-	3/6/2013	 0	0	$140.00
Infrastructure	-	-	-	3/6/2013	 0	0	$140.00
ACG	-	-	-	4/6/2013	 0	0	$140.00
Fiat	-	-	-	4/6/2013	 0	0	$140.00
DPC	-	-	-	4/6/2013	 0	0	$140.00
ADT	-	-	-	4/6/2013	 0	0	$140.00
Arby	-	-	-	4/6/2013	 0	0	$140.00
DADS	-	-	-	4/6/2013	 0	0	$140.00
Things Remembered	-	-	-	4/6/2013	 0	0	$140.00
M-Drive	-	-	-	4/6/2013	 0	0	$140.00
Infrastructure	-	-	-	4/6/2013	 0	0	$140.00
ACG	-	-	-	5/6/2013	 0	0	$140.00
Fiat	-	-	-	5/6/2013	 0	0	$140.00
DPC	-	-	-	5/6/2013	 0	0	$140.00
ADT	-	-	-	5/6/2013	 0	0	$140.00
Arby	-	-	-	5/6/2013	 0	0	$140.00
DADS	-	-	-	5/6/2013	 0	0	$140.00
Things Remembered	-	-	-	5/6/2013	 0	0	$140.00
M-Drive	-	-	-	5/6/2013	 0	0	$140.00
Infrastructure	-	-	-	5/6/2013	 0	0	$140.00
